"","LSOA code","LSOA name","LAD code","LAD name","ITL1 code","ITL1 name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","GEOGRAPHY_NAME","OBS_VALUE"
"1","E01011949","Hartlepool 009A","E06000001","Hartlepool","TLC","North East (England)",6.249850639,6.834244036,7.174055384,7.601908467,8.055307296,8.225550304,8.49142139,9.128690774,9.289204553,10.05266676,10.30634295,10.52526263,10.50829288,10.73532744,10.7372836,8.473394629,10.18219562,10.19687962,11.13701437,6.922448781,9.403927463,9.666582429,10.19269461,"Hartlepool 009A",319
"2","E01011950","Hartlepool 008A","E06000001","Hartlepool","TLC","North East (England)",1.485160865,1.630290578,1.591542357,1.623175153,1.799482595,1.703396225,1.857073612,2.010062822,2.042728379,2.192663946,2.357401054,2.189348439,2.115618463,2.347314977,2.364031282,2.330587025,2.47033352,2.392738177,2.361083667,2.408333006,2.422356043,2.557111612,2.343692381,"Hartlepool 008A",228
"3","E01011951","Hartlepool 007A","E06000001","Hartlepool","TLC","North East (England)",2.609343075,2.726826439,2.625597196,2.756459921,2.786335893,2.83843692,2.532319713,2.710045347,3.024711964,3.124009334,3.196601493,3.027242612,3.266854799,3.250437508,3.406194127,3.497072434,4.363456633,4.331453617,4.590034379,3.706487657,3.786415842,5.39413208,4.507660072,"Hartlepool 007A",223
"4","E01011952","Hartlepool 002A","E06000001","Hartlepool","TLC","North East (England)",4.340594049,4.511733552,4.796097553,5.031772039,5.62381422,5.752145659,6.362400667,6.677005876,7.259970352,7.388820099,7.206761911,7.313364015,7.592004164,7.977666332,7.480128235,8.050247505,8.35241782,32.20740746,57.34969446,62.10928885,62.41605973,56.66851172,57.35864305,"Hartlepool 002A",1814
"5","E01011953","Hartlepool 002B","E06000001","Hartlepool","TLC","North East (England)",21.28720181,22.52671098,23.80585689,24.44325012,25.45171308,25.6324227,28.0266932,30.74366824,32.68014277,36.90643568,50.28814577,36.60496192,45.65900909,37.74260822,38.54694964,33.21744082,31.77141293,32.20740746,8.087436047,7.069826401,7.195770246,8.311305378,8.056473173,"Hartlepool 002B",212
"6","E01011954","Hartlepool 001A","E06000001","Hartlepool","TLC","North East (England)",5.309347949,5.819340313,6.086102966,6.463397643,7.014154697,7.10885312,7.495295986,8.002061377,8.002868457,8.568086054,8.847804838,8.918730385,8.868653022,9.280038969,9.227774132,9.25868936,8.993061612,10.33935916,10.73667127,9.225640633,8.817641032,9.808880373,9.557286971,"Hartlepool 001A",355
"7","E01011955","Hartlepool 003A","E06000001","Hartlepool","TLC","North East (England)",13.85156833,11.86102782,11.99447027,12.54628699,15.1553413,17.66024486,21.91862669,23.97161781,24.90496461,27.12993027,29.84689252,28.94190717,32.22829634,32.99422515,34.15556855,41.35486983,39.49817228,39.47209704,42.01478879,40.46230172,32.21606587,28.13947703,31.58902326,"Hartlepool 003A",455
"8","E01011957","Hartlepool 003C","E06000001","Hartlepool","TLC","North East (England)",2.607231517,2.912822719,2.969679147,2.980372564,3.178308351,3.162149372,3.060101155,3.444241935,3.617294217,4.007010018,4.057480047,3.650894893,3.439804956,3.656215578,3.609445854,3.837478041,3.903311062,3.867429252,3.264028208,3.04640448,3.441020853,3.012401262,2.704960931,"Hartlepool 003C",140
"9","E01011959","Hartlepool 014A","E06000001","Hartlepool","TLC","North East (England)",15.89561892,17.32184634,18.32147671,18.58786758,20.62687314,21.492009,20.70954698,22.28104629,23.56802989,25.11071402,24.96335092,23.4232197,22.34061993,22.9673619,22.3540583,22.7629311,26.89712096,26.87896655,26.55509905,26.9957711,29.1193163,25.91012201,23.75678125,"Hartlepool 014A",563
"10","E01011960","Hartlepool 014B","E06000001","Hartlepool","TLC","North East (England)",3.365565797,3.462068235,3.530804022,3.528195032,3.470608333,3.325466664,2.875614717,3.315200323,3.828629776,4.271640415,4.566304529,4.087076745,3.988042134,4.110685454,4.132055172,8.23246571,4.587854363,3.771134424,4.016924947,3.912148608,4.168620119,4.562147208,4.480243152,"Hartlepool 014B",89
"11","E01011961","Hartlepool 012A","E06000001","Hartlepool","TLC","North East (England)",3.533995334,3.779530271,3.667339845,3.729843282,3.719362046,3.465701514,3.108779439,3.393727888,3.976377797,4.262672288,4.682940906,4.429930927,4.413234781,4.272384123,4.466184499,10.86642641,4.494312984,4.64661295,5.201126409,5.100534581,5.034638668,4.521566374,10.14598025,"Hartlepool 012A",368
"12","E01011962","Hartlepool 012B","E06000001","Hartlepool","TLC","North East (England)",1.634482793,1.790473514,1.899512732,1.997401149,2.105471213,2.230267041,2.288214977,2.476526566,2.512922653,2.731478851,2.824102743,2.842261337,2.77509767,2.839499483,2.778593204,4.890243084,8.438736445,7.418087503,20.32289979,18.89318829,10.94279011,11.76356996,6.723792334,"Hartlepool 012B",144
"13","E01011963","Hartlepool 014C","E06000001","Hartlepool","TLC","North East (England)",2.690522866,2.776236732,2.791032386,2.77942182,2.71557084,2.526367171,2.072989137,2.397071623,2.798252368,3.117655763,3.439305713,3.040277808,2.97102947,3.033267049,3.136500458,3.442914811,3.825628887,4.080877938,3.697400576,3.775913063,4.058424071,3.996891244,4.174575166,"Hartlepool 014C",118
"14","E01011964","Hartlepool 007B","E06000001","Hartlepool","TLC","North East (England)",3.899847521,4.109800821,4.245876246,4.259336281,4.293015421,4.297612757,4.002669056,4.45758135,5.142140254,5.566516798,5.882480211,5.554600054,5.575415207,5.931468714,5.872668234,5.091287118,6.26286174,6.77636052,7.767957581,8.187312026,9.28632711,10.55190848,11.22569615,"Hartlepool 007B",300
"15","E01011965","Hartlepool 006A","E06000001","Hartlepool","TLC","North East (England)",15.09086482,16.47483462,16.89762404,19.82579103,24.73899811,21.57221672,20.95559241,21.0500052,20.9867173,20.92194071,20.55089459,20.36429331,18.72200421,19.87081135,19.25099792,18.52440776,18.70746043,15.94381074,15.16000718,15.70713553,16.78899734,19.87523209,22.12823774,"Hartlepool 006A",320
"16","E01011966","Hartlepool 006B","E06000001","Hartlepool","TLC","North East (England)",2.868812952,2.97173108,2.987463666,2.99615582,2.937755743,2.733208218,2.290930231,2.666660631,3.120298711,3.475482497,3.798591205,3.395075515,3.345236839,3.435071097,3.503897762,4.050613389,3.897869611,5.365279709,5.353239639,5.905718897,6.015180292,5.92635243,5.727973139,"Hartlepool 006B",162
"17","E01011967","Hartlepool 007C","E06000001","Hartlepool","TLC","North East (England)",4.784797886,4.928575424,5.194631212,5.257042636,5.410502672,5.345222406,5.409142354,5.78388908,6.530613138,7.022869758,7.758650891,7.305907008,7.421991597,7.487349448,7.253236742,5.632983763,6.413294594,5.249285181,9.285792746,8.893909196,9.371354808,8.806625492,8.630995504,"Hartlepool 007C",161
"18","E01011968","Hartlepool 014D","E06000001","Hartlepool","TLC","North East (England)",8.813170717,8.999904987,9.323947709,8.988558348,9.64680791,10.35135193,10.34682599,11.04817887,11.96134533,12.64443171,13.41025036,13.49028245,13.10008796,14.18472194,13.97456176,12.1288151,13.57723728,13.06811482,21.95666236,32.04537753,34.30848739,42.78564668,39.36431362,"Hartlepool 014D",562
